age,children,cleaned_name,gender,industry,name,place,source,status,cash,key,last,last_rel,net,private,public,rank,ytd,ytd_rel
71.0,1,shiv-nadar,Male,Technology,Shiv Nadar,India,Self-made,Married,8.33,shiv-nadar,92.14,0.77,12.13,4.4,87.27,86,8.56,0.07
51.0,6,alexey-mordashov,Male,Metals & Mining,Alexey Mordashov,Russia,Self-made,Married,18.95,alexey-mordashov,178.61,1.21,14.96,7.96,73.09,56,2680.91,21.84
57.0,2,uday-kotak,Male,Finance,Uday Kotak,India,Self-made,Married,6.65,uday-kotak,11.59,0.15,7.85,0.42,92.93,159,677.42,9.44
39.0,0,alejandro-santo-domingo,Male,Food & Beverage,Alejandro Santo Domingo,Colombia,Inherited,Single,20.84,alejandro-santo-domingo,-111.94,-0.71,15.7,3.26,75.9,52,-223.22,-1.4
72.0,3,thomas-peterffy,Male,Finance,Thomas Peterffy,United States,Self-made,Divorced,25.24,thomas-peterffy,219.05,1.54,14.46,0.34,74.42,63,-3806.44,-20.84
59.0,2,viktor-vekselberg,Male,Diversified,Viktor Vekselberg,Russia,Self-made,Married,53.89,viktor-vekselberg,55.72,0.38,14.56,21.56,24.55,61,1893.54,14.95
51.0,2,ludwig-merckle,Male,Manufacturing,Ludwig Merckle,Germany,Inherited,Married,1.9,ludwig-merckle,4.21,0.05,7.86,41.49,56.6,158,470.02,6.36
70.0,5,harold-hamm,Male,Energy,Harold Hamm,United States,Self-made,Divorced,2.1,harold-hamm,-305.1,-1.98,15.14,0.93,96.97,54,8226.62,118.97
60.0,7,steve-cohen,Male,Finance,Steve Cohen,United States,Self-made,Married,4.48,steve-cohen,0.0,0.0,11.17,95.52,0.0,98,-816.0,-6.81
43.0,2,sergey-brin,Male,Technology,Sergey Brin,United States,Self-made,Divorced,21.61,sergey-brin,122.87,0.31,39.49,0.0,78.39,12,321.0,0.82
,0,finn-rausing,Male,Manufacturing,Finn Rausing,Sweden,Inherited,,5.27,finn-rausing,-108.8,-1.57,6.83,94.73,0.0,196,1439.62,26.71
51.0,2,hiroshi-mikitani,Male,Technology,Hiroshi Mikitani,Japan,Self-made,Married,8.39,hiroshi-mikitani,-113.8,-1.5,7.47,0.4,91.22,175,791.85,11.86
67.0,2,tadashi-yanai,Male,Retail,Tadashi Yanai,Japan,Self-made,Married,5.86,tadashi-yanai,30.01,0.18,17.07,0.83,93.31,44,-1136.62,-6.24
59.0,0,len-blavatnik,Male,Diversified,Len Blavatnik,United States,Self-made,Married,15.57,len-blavatnik,-72.05,-0.39,18.17,50.24,34.18,40,1001.13,5.83
50.0,7,roman-abramovich,Male,Diversified,Roman Abramovich,Russia,Self-made,Married,49.6,roman-abramovich,-70.84,-0.67,10.55,35.48,14.92,110,-807.74,-7.11
52.0,1,jack-ma,Male,Technology,Jack Ma,China,Self-made,Married,3.29,jack-ma,-3.58,-0.01,36.15,51.82,44.89,14,6438.48,21.67
78.0,4,joseph-safra,Male,Finance,Joseph Safra,Brazil,Self-made,Married,7.07,joseph-safra,48.17,0.34,14.24,92.93,0.0,64,-373.39,-2.55
80.0,3,amancio-ortega,Male,Retail,Amancio Ortega,Spain,Self-made,Married,0.0,amancio-ortega,164.09,0.21,78.54,13.14,86.86,2,5657.81,7.76
52.0,4,petr-kellner,Male,Finance,Petr Kellner,Czech Republic,Self-made,Married,0.0,petr-kellner,125.35,1.08,11.74,74.32,25.68,93,-271.61,-2.26
44.0,1,andrey-melnichenko,Male,Diversified,Andrey Melnichenko,Russia,Self-made,Married,9.41,andrey-melnichenko,-37.16,-0.36,10.3,89.82,0.77,116,4190.45,68.61
72.0,1,dietrich-mateschitz,Male,Food & Beverage,Dietrich Mateschitz,Austria,Self-made,Single,0.22,dietrich-mateschitz,-166.56,-1.31,12.59,99.78,0.0,78,1110.38,9.68
62.0,4,gina-rinehart,Female,Metals & Mining,Gina Rinehart,Australia,Inherited,Widowed,1.61,gina-rinehart,-64.5,-0.53,12.11,98.19,0.21,87,2420.02,24.98
63.0,4,andy-beal,Male,Finance,Andy Beal,United States,Self-made,Divorced,65.88,andy-beal,0.0,0.0,8.04,34.12,0.0,155,-775.7,-8.8
,3,he-xiangjian,Male,Manufacturing,He Xiangjian,China,Self-made,Married,23.27,he-xiangjian,-14.96,-0.17,8.58,1.23,75.5,144,172.37,2.05
83.0,2,harry-triguboff,Male,Real Estate,Harry Triguboff,Australia,Self-made,Married,0.0,harry-triguboff,71.62,0.94,7.73,100.0,0.0,167,709.25,10.1
65.0,2,gerard-wertheimer,Male,Retail,Gerard Wertheimer,France,Inherited,Married,0.0,gerard-wertheimer,91.13,0.93,9.85,100.0,0.0,119,-2023.36,-17.04
75.0,2,heinz-hermann-thiele,Male,Manufacturing,Heinz Hermann Thiele,Germany,Self-made,Married,4.92,heinz-hermann-thiele,11.47,0.09,12.25,91.36,3.72,84,2287.17,22.97
,0,jorn-rausing,Male,Manufacturing,Jorn Rausing,Sweden,Inherited,,4.39,jorn-rausing,-109.58,-1.54,7.01,92.14,3.47,187,1361.31,24.1
,0,giovanni-ferrero,Male,Food & Beverage,Giovanni Ferrero,Italy,Inherited,Unknown,0.0,giovanni-ferrero,68.73,0.31,21.95,100.0,0.0,31,-429.57,-1.92
,1,yongxing-liu,Male,Diversified,Yongxing Liu,China,Self-made,Married,0.0,yongxing-liu,-45.74,-0.47,9.7,100.0,0.0,122,-682.98,-6.58
57.0,3,mohamed-al-jaber,Male,Service,Mohamed Al Jaber,Saudi Arabia,Self-made,Married,33.79,mohamed-al-jaber,4.15,0.05,8.27,66.21,0.0,151,-24.92,-0.3
52.0,4,georg-schaeffler,Male,Manufacturing,Georg Schaeffler,Germany,Inherited,Divorced,0.0,georg-schaeffler,118.45,0.61,19.63,0.0,100.0,34,-2906.19,-12.9
49.0,3,xavier-niel,Male,Technology,Xavier Niel,France,Self-made,Single,4.83,xavier-niel,39.45,0.54,7.3,33.28,61.89,179,-842.43,-10.34
61.0,2,leonid-mikhelson,Male,Energy,Leonid Mikhelson,Russia,Self-made,Married,17.18,leonid-mikhelson,-70.62,-0.47,15.05,32.03,50.79,55,2070.08,15.94
45.0,1,pony-ma,Male,Technology,Pony Ma,China,Self-made,Married,13.07,pony-ma,54.85,0.23,23.45,0.7,86.23,29,4214.96,21.91
,0,zhang-zhidong,Male,Technology,Zhang Zhidong,China,Self-made,Married,4.83,zhang-zhidong,24.44,0.26,9.53,0.0,95.17,126,2739.5,40.32
87.0,2,gordon-moore,Male,Technology,Gordon Moore,United States,Self-made,Married,19.08,gordon-moore,-29.52,-0.39,7.47,0.0,80.92,173,732.14,10.86
49.0,2,dmitry-rybolovlev,Male,Manufacturing,Dmitry Rybolovlev,Russia,Self-made,Divorced,64.54,dmitry-rybolovlev,2.78,0.03,9.54,35.19,0.28,125,292.33,3.16
,0,lei-jun,Male,Technology,Lei Jun,China,Self-made,Married,0.67,lei-jun,26.45,0.34,7.77,88.27,11.06,165,-2211.98,-22.15
71.0,1,zong-qinghou,Male,Food & Beverage,Zong Qinghou,China,Self-made,Married,0.0,zong-qinghou,-81.8,-1.11,7.32,100.0,0.0,178,-2034.98,-21.75
47.0,4,robin-li,Male,Technology,Robin Li,China,Self-made,Married,0.62,robin-li,59.83,0.45,13.36,0.0,99.38,71,-336.02,-2.45
69.0,3,johann-graf,Male,Service,Johann Graf,Austria,Self-made,Divorced,4.08,johann-graf,0.0,0.0,7.38,95.92,0.0,177,-414.0,-5.32
